50 4	128 40
2770 4	3508 40
2770 4	3508 4
421 126	556 40
82 9	48 7
3204 126	39 390 40
435 126	60 428 40
92 126	13 24 215 40
1414 4	3906 4
190 126	39 1927 40
190 126	5934 40
269 126	570 40
269 126	1117 40
50 42 4	2498 4
50 42 4	1 4
1692 126	2237 40
1692 126	3508 40
5 88 4	5 384 4
5 193 4	19 1154 4
5 149 126	19 25 876 40
5 149 4	19 170 25 876 4
1581 126	2499 40
1581 126	1 40
1 126	573 40
1 126	13 73 573 40
1 126	365 40
1 126	1 1 40
61 73 4	1129 86 4
50 99 4	128 26 143 4
50 99 4	351 43 143 4
105 15 126	19 25 1 40
1 21 4	2858 4
1639 22 4	5453 47 41 205 703 40
1639 22 4	5454 47 41 213 703 40
5 450 4	5 32 1145 4
5 40 4	5 84 4
5 179 4	5 32 497 4
5 179 4	5 32 386 4
5 263 4	19 25 304 4
5 577 4	19 170 25 808 4
5 34 1 4	19 25 1 222 4
5 34 528 4	5 142 91 4
67 137 126	35 9 8 473 40
67 137 126	968 40
67 137 126	28 286 791 4
67 137 126	187 2426 40
67 137 126	35 9 6576 40
67 137 126	28 299 422 40
67 137 126	850 6 282 40
93 9	92 7
93 9	332 7
93 9	5935 134 7
648 4	365 40
25 193 4	89 1154 4
25 149 4	27 93 876 4
25 149 4	27 24 93 2859 4
25 149 4	27 24 1 4
200 14 4	293 13 22 4
35 1106 4	261 1130 40
35 1106 4	247 1130 40
35 1106 4	247 2860 40
35 1127 4	261 3907 40
35 1244 4	261 154 40
35 1244 4	247 154 40
35 1244 4	247 5455 40
35 1244 4	247 1 40
35 1244 4	247 1 40
35 248 4	261 814 4
35 302 4	261 814 40
35 302 4	247 814 40
35 302 4	247 1602 40
35 302 4	247 2767 40
35 302 4	247 3908 40
1357 15 4	5456 40
211 22 4	584 47 40
211 22 4	1 47 40
211 96 4	1581 27 40
89 21 4	2572 40
89 21 4	307 4
89 21 4	307 40
89 21 4	2572 40
89 42 4	342 40
89 42 4	315 40
89 42 4	732 40
1097 15 126	364 591 40
1097 15 126	364 15 591 40
61 14 4	128 583 22 4
61 74 126	1096 40
61 74 126	1368 40
61 74 4	1096 4
61 74 4	2427 86 4
50 219 126	5456 40
50 219 126	1255 40
50 219 4	1255 40
50 219 4	5456 40
50 219 4	1999 15 2971 40
50 219 4	1255 29 81 4
50 219 4	128 52 28 40
50 219 4	1 40
50 219 4	342 10 28 40
50 117 4	5457 13 16 116 4
50 117 4	1504 13 16 116 4
50 117 4	5457 166 10 4
50 1276 4	128 4138 40
1341 126	6577 40
1341 126	13 16 1 4
1358 42 126	570 23 113 40
1358 42 4	1033 134 40
1358 42 4	1448 134 40
16 514 4	12 1877 591 4
16 514 4	12 18 449 591 4
16 1550 4	12 867 4
92 22 126	215 47 40
92 22 4	215 47 4
92 22 4	2188 47 4
92 96 4	2188 27 40
663 15 126	14 2768 42 40
663 42 4	14 3509 8 4
1639 14 4	157 23 3205 13 22 4
5 1157 4	19 25 1776 4
5 4075 4	5 33 32 1 4
5 399 4	5 2000 4
5 733 4	5 1558 4
5 1172 4	5 33 32 1582 1199 4
5 1172 4	5 33 32 2088 1199 4
5 1 4	19 170 25 1 4
5 323 4	19 5458 4
5 323 4	19 25 1430 4
5 2771 4	19 170 25 57 1431 4
5 54 50 4	19 1015 4
5 34 842 4	5 32 3206 4
5 34 842 4	5 32 518 4
5 34 1083 4	5 32 28 1179 4
5 34 667 126	5 32 2428 40
5 34 667 126	5 32 6578 40
5 34 1044 4	5 32 423 4
5 34 1415 4	5 32 1718 4
5 34 1451 4	5 32 5039 4
15 17 22 126	35 9 1 40
782 96 4	4397 10 4
782 96 4	4397 10 13 27 4
212 15 4	714 15 40
212 15 4	1719 15 40
790 22 4	3090 47 4
790 22 4	1 47 4
22 26 106 4	47 149 4
292 73 4	1302 47 40
88 6 4	13 42 4
303 22 4	474 47 40
303 22 4	1603 47 40
752 73 126	908 16 40
752 73 126	908 16 40
80 142 4	13 42 288 40
101 15 4	376 15 40
101 15 4	376 15 40
101 15 4	549 15 40
85 22 4	314 47 40
843 73 126	2861 86 40
843 73 126	2861 86 40
843 73 126	4684 10 40
843 73 4	2861 86 40
843 73 4	4684 10 40
1084 73 4	6579 10 40
25 263 4	27 1 4
25 263 4	27 93 304 4
25 263 4	27 2573 5936 4
25 263 4	27 2573 1 4
25 263 4	27 2573 1 4
25 263 4	27 2573 1 4
25 263 4	27 93 80 1 4
25 263 4	27 93 80 1 4
1065 4	1928 40
82 149 9	48 18 876 7
82 149 9	48 24 18 2859 7
115 5 842 9	32 5 518 7
115 5 842 9	32 5 787 7
200 167 4	293 270 4
200 167 4	1480 270 4
124 168 126	5459 40
124 168 126	5460 4
124 168 4	5459 40
124 168 4	5460 4
124 168 4	3091 10 4
35 10 194 4	261 23 202 40
35 144 4	261 1130 40
35 144 4	247 1130 40
35 144 4	247 2860 40
4390 22 4	299 221 4
4390 22 4	19 28 84 1 112 4
211 14 4	584 22 4
211 14 4	1581 22 4
1 52 4	1 15 4
399 42 4	2498 13 3510 40
191 14 4	324 22 4
191 14 4	2238 22 4
805 20 4	1 150 4
61 178 126	1841 86 40
61 178 4	2972 40
61 178 4	1841 86 40
61 178 4	3207 10 40
61 263 126	5456 40
61 618 126	261 4398 40
50 924 4	351 43 4
50 924 4	1 40
50 924 4	300 626 40
50 924 4	351 43 40
81 164 126	91 1289 40
81 164 126	134 492 40
81 164 126	478 147 40
1582 52 4	2137 15 4
24 341 4	2429 86 91 40
16 4076 4	12 1154 4
92 14 4	2188 22 4
2770 26 810 4	3508 26 31 1720 40
49 879 126	123 35 9 1627 40
49 1128 9	159 3092 7
49 302 126	123 35 9 1131 40
49 302 126	123 35 9 814 40
49 302 126	123 35 9 1505 40
437 73 4	5937 40
437 73 4	1 10 40
437 73 4	1 40
5 115 842 4	5 32 3206 4
5 48 528 4	5 44 28 32 91 954 4
5 48 528 4	5 44 28 32 91 1419 4
5 48 15 4	5 24 25 57 4
5 48 15 4	35 9 47 48 24 25 57 4
5 984 4	19 25 1420 4
5 490 4	19 25 457 4
5 61 15 4	19 25 755 4
5 105 15 4	19 25 755 4
5 643 4	19 25 897 4
5 1495 4	19 25 2500 4
5 398 4	19 170 25 833 4
5 3791 4	19 170 25 57 1431 6 16 414 4
5 4391 4	19 170 25 1 4
5 4077 4	5 1 4
5 4077 4	19 25 2501 4
5 1527 4	5 1401 4
5 1527 4	5 15 1401 4
5 2572 4	5 33 32 6580 4
5 201 15 4	5 24 25 152 4
5 1 4	19 170 25 1 4
5 580 4	5 32 1721 4
5 685 4	19 170 25 475 4
5 281 15 4	5 44 28 3208 4
5 54 328 4	5 3698 4
5 54 193 4	5 142 369 4
5 54 193 4	19 3355 4
5 34 124 4	5 32 1188 4
5 34 124 4	33 1 4
5 34 3385 4	5 32 3699 4
5 34 215 4	5 32 568 4
5 34 1106 4	5 32 1130 4
5 34 296 4	19 25 445 4
5 34 1127 4	5 32 5461 4
5 34 2136 4	5 32 3700 4
5 34 2136 4	5 32 4399 4
5 34 196 4	19 28 25 391 4
5 34 1244 4	5 32 154 4
5 34 1244 4	19 25 16 2769 3093 4
5 34 1244 4	19 25 15 3209 1402 4
5 34 462 4	5 32 1106 4
5 34 692 4	49 128 91 4
5 34 692 4	5 142 91 4
5 34 692 4	39 128 4
5 34 454 126	5 32 699 40
5 34 454 4	5 32 699 4
5 34 454 4	5 32 2647 4
